ID, test_mean, val_mean, train_mean, test_acc_std, val_acc_std, epoch

pubmed-pubmed_elph,72.86777978339349,82.98736462093864,99.97260538868119,1.0491877256317672,1.2409747292418782, 100
pubmed-pubmed_buddy,69.96841155234657,83.10018050541517,99.7663400799278,0.7784296028880866,1.1507220216606495, 100
pubmed-pubmed_elph_text,44.584837545126355,58.58528880866426,91.91536676550213,0.6656137184115507,0.25947653429603257, 100
pubmed-pubmed_buddy_text,56.81407942238267,70.64530685920577,99.88719865927548,0.0,0.0, 100

cora-cora_elph_text,79.41757156959525,93.77470355731225,99.88732394366198,0.3455083909180645,0.09881422924901129, 100
cora-cora_buddy_text,84.00789733464956,95.0592885375494,100.0,0.0,0.0, 100
cora-cora_elph,85.3405725567621,92.78656126482213,100.0,1.530108588351431,0.09881422924901129, 100
cora-cora_buddy,84.5014807502468,91.30434782608697,100.0,0.19743336623889718,0.19762845849802813, 100

pubmed-pubmed_elph_text-None,44.45509927797834,58.664259927797836,92.39718963516823,0.1297382671480135,0.24819494584837898,100
pubmed-pubmed_buddy_text-None,56.81407942238267,70.64530685920577,99.88719865927548,0.0,0.0,100
ogbn-arxiv-None-None,18.238356956899047,23.080294530154276,29.013539167413832,1.2065988201365703,1.4130434782608696,2
ogbn-arxiv-None-None,27.132037762642337,30.130610098176717,32.43414494873349,0.015339977735115418,1.0247194950911642,2

ogbn-arxiv-ELPH-True,41.09466957687955,44.59700210378688,83.75811072764888,8.815413419393735,8.177620202488809,100
ogbn-arxiv-ELPH-True,41.56502835704455,45.50660939691446,83.93646158392737,7.59163837396518,7.209616663391545,100
cora-ELPH-False,23.871668311944713,35.49407114624506,21.363098591549296,2.2826140615404715,1.411902853714762,100
